,read_time,period,write_counts,predictions
0,1364777580000.0,0.0,6.0,
1,1364780160000.0,2580000.0,5.0,
2,1364784720000.0,4560000.0,3.0,
3,1364797380000.0,12660000.0,5.0,
4,1364810700000.0,13320000.0,6.0,
5,1364811780000.0,1080000.0,6.0,
6,1364817300000.0,5520000.0,4.0,
7,1364818920000.0,1620000.0,6.0,
8,1364820660000.0,1740000.0,9.0,
9,1364824380000.0,3720000.0,6.0,
10,1364826360000.0,1980000.0,7.0,
11,1364827380000.0,1020000.0,10.0,
12,1364828220000.0,840000.0,8.0,
13,1364829060000.0,840000.0,8.0,
14,1364830080000.0,1020000.0,8.0,
15,1364830800000.0,720000.0,4.0,
16,1364832360000.0,1560000.0,5.0,
17,1364833260000.0,900000.0,4.0,
18,1364835060000.0,1800000.0,5.0,
19,1364836620000.0,1560000.0,6.0,
20,1364843040000.0,6420000.0,5.0,
21,1364850300000.0,7260000.0,6.0,
22,1364859540000.0,9240000.0,9.0,
23,1364864400000.0,4860000.0,9.0,
24,1364866800000.0,2400000.0,8.0,
25,1364872080000.0,5280000.0,6.0,
26,1364875740000.0,3660000.0,5.0,
27,1364879460000.0,3720000.0,8.0,
28,1364881380000.0,1920000.0,7.0,
29,1364889600000.0,8220000.0,6.0,
30,1364892660000.0,3060000.0,6.0,
31,1364895120000.0,2460000.0,6.0,
32,1364898900000.0,3780000.0,6.0,
33,1364899680000.0,780000.0,6.0,
34,1364900940000.0,1260000.0,6.0,
35,1364906160000.0,5220000.0,8.0,
36,1364907900000.0,1740000.0,5.0,
37,1364911800000.0,3900000.0,6.0,
38,1364912940000.0,1140000.0,7.0,
39,1364915880000.0,2940000.0,7.0,
40,1364919420000.0,3540000.0,8.0,6.050130844116211
41,1364922000000.0,2580000.0,5.0,6.063704967498779
42,1364923980000.0,1980000.0,2.0,5.836650848388672
43,1364925960000.0,1980000.0,5.0,5.428359508514404
44,1364928660000.0,2700000.0,6.0,5.612425327301025
45,1364930220000.0,1560000.0,6.0,5.693482875823975
46,1364931900000.0,1680000.0,6.0,5.845777988433838
47,1364933280000.0,1380000.0,4.0,5.9784393310546875
48,1364934060000.0,780000.0,8.0,5.662562370300293
49,1364935020000.0,960000.0,4.0,6.603667736053467
50,1364936940000.0,1920000.0,8.0,5.986008644104004
51,1364939100000.0,2160000.0,5.0,6.1938934326171875
52,1364940300000.0,1200000.0,7.0,5.754549503326416
53,1364941740000.0,1440000.0,6.0,6.078723907470703
54,1364942940000.0,1200000.0,5.0,6.004444122314453
55,1364944980000.0,2040000.0,2.0,5.809505939483643
56,1364947440000.0,2460000.0,9.0,5.339115142822266
57,1364948580000.0,1140000.0,5.0,6.194995403289795
58,1364951220000.0,2640000.0,7.0,5.881870269775391
59,1364952300000.0,1080000.0,6.0,6.091093063354492
60,1364953620000.0,1320000.0,6.0,6.044173717498779
61,1364957100000.0,3480000.0,8.0,6.1079816818237305
62,1364957940000.0,840000.0,7.0,6.29484224319458
63,1364959500000.0,1560000.0,4.0,6.1403093338012695
64,1364960580000.0,1080000.0,8.0,5.811795711517334
65,1364961960000.0,1380000.0,8.0,6.461055755615234
66,1364963160000.0,1200000.0,10.0,6.387726783752441
67,1364964180000.0,1020000.0,6.0,6.915396690368652
68,1364965020000.0,840000.0,3.0,6.634923934936523
69,1364965920000.0,900000.0,7.0,5.9629621505737305
70,1364968200000.0,2280000.0,5.0,6.632997035980225
71,1364969520000.0,1320000.0,5.0,5.9257493019104
72,1364970660000.0,1140000.0,6.0,6.031991004943848
73,1364971620000.0,960000.0,8.0,6.2013115882873535
74,1364972340000.0,720000.0,8.0,6.550708770751953
75,1364973720000.0,1380000.0,8.0,6.849825382232666
76,1364974800000.0,1080000.0,8.0,6.484127044677734
77,1364975640000.0,840000.0,6.0,6.742187976837158
78,1364978040000.0,2400000.0,10.0,6.676979064941406
79,1364980140000.0,2100000.0,7.0,6.652160167694092
80,1364981100000.0,960000.0,8.0,6.562272548675537
81,1364982000000.0,900000.0,7.0,6.777904510498047
82,1364982780000.0,780000.0,7.0,6.796300411224365
83,1364983740000.0,960000.0,7.0,6.935202598571777
84,1364984640000.0,900000.0,7.0,6.931295871734619
85,1364986140000.0,1500000.0,6.0,7.012050151824951
86,1364986980000.0,840000.0,7.0,6.6149492263793945
87,1364988480000.0,1500000.0,7.0,6.968286991119385
88,1364990340000.0,1860000.0,7.0,6.866598129272461
89,1364992740000.0,2400000.0,5.0,6.9087815284729
90,1365000180000.0,7440000.0,6.0,6.486288547515869
91,1365004260000.0,4080000.0,4.0,6.0862507820129395
92,1365006300000.0,2040000.0,6.0,5.925895690917969
93,1365007440000.0,1140000.0,5.0,6.441561222076416
94,1365009120000.0,1680000.0,8.0,6.239438533782959
95,1365011040000.0,1920000.0,7.0,6.730035781860352
96,1365012600000.0,1560000.0,5.0,6.731805324554443
97,1365014340000.0,1740000.0,8.0,6.368097305297852
98,1365015480000.0,1140000.0,10.0,6.873320579528809
99,1365016140000.0,660000.0,9.0,7.192710876464844
100,1365017460000.0,1320000.0,7.0,7.755265712738037
101,1365018960000.0,1500000.0,7.0,7.061810493469238
102,1365021360000.0,2400000.0,9.0,7.035248756408691
103,1365022140000.0,780000.0,7.0,7.051055908203125
104,1365023160000.0,1020000.0,9.0,7.268227577209473
105,1365024060000.0,900000.0,8.0,7.358699798583984
106,1365025740000.0,1680000.0,9.0,7.440195083618164
107,1365027480000.0,1740000.0,6.0,7.276991844177246
108,1365028200000.0,720000.0,8.0,7.011345386505127
109,1365030840000.0,2640000.0,9.0,7.42087459564209
110,1365031560000.0,720000.0,9.0,7.22590446472168
111,1365032460000.0,900000.0,5.0,7.546465873718262
112,1365033540000.0,1080000.0,3.0,7.151972770690918
113,1365034500000.0,960000.0,9.0,6.647930145263672
114,1365036060000.0,1560000.0,9.0,7.370926856994629
115,1365037980000.0,1920000.0,8.0,7.243602752685547
116,1365039900000.0,1920000.0,9.0,7.203102111816406
117,1365041400000.0,1500000.0,10.0,7.242120265960693
118,1365043620000.0,2220000.0,8.0,7.423958778381348
119,1365045120000.0,1500000.0,7.0,7.281796455383301
120,1365046320000.0,1200000.0,9.0,7.274950981140137
121,1365047460000.0,1140000.0,3.0,7.434597969055176
122,1365048720000.0,1260000.0,5.0,6.813097953796387
123,1365049680000.0,960000.0,5.0,6.80843448638916
124,1365051120000.0,1440000.0,6.0,6.754136085510254
125,1365052320000.0,1200000.0,8.0,6.720595359802246
126,1365052980000.0,660000.0,7.0,6.9233808517456055
127,1365053940000.0,960000.0,5.0,7.009548187255859
128,1365054780000.0,840000.0,7.0,6.532707214355469
129,1365056280000.0,1500000.0,4.0,6.932827472686768
130,1365058440000.0,2160000.0,6.0,6.204833507537842
131,1365061980000.0,3540000.0,7.0,6.593313694000244
132,1365066480000.0,4500000.0,8.0,6.702877998352051
133,1365071640000.0,5160000.0,6.0,6.83078145980835
134,1365075480000.0,3840000.0,6.0,6.159945011138916
135,1365076440000.0,960000.0,6.0,6.206670761108398
136,1365078660000.0,2220000.0,7.0,6.077558517456055
137,1365079560000.0,900000.0,4.0,6.593222141265869
138,1365080460000.0,900000.0,7.0,6.048821449279785
139,1365082200000.0,1740000.0,5.0,6.645079135894775
140,1365083640000.0,1440000.0,7.0,6.011610984802246
141,1365086520000.0,2880000.0,9.0,6.487478733062744
142,1365088440000.0,1920000.0,10.0,6.56476354598999
143,1365089640000.0,1200000.0,9.0,6.641449928283691
144,1365091260000.0,1620000.0,5.0,6.793667316436768
145,1365092340000.0,1080000.0,7.0,6.204858779907227
146,1365093240000.0,900000.0,5.0,6.555970668792725
147,1365095700000.0,2460000.0,7.0,6.245654582977295
148,1365096300000.0,600000.0,6.0,6.395268440246582
149,1365097020000.0,720000.0,4.0,6.3855814933776855
150,1365097800000.0,780000.0,3.0,5.8241047859191895
151,1365101100000.0,3300000.0,5.0,5.48575496673584
152,1365103080000.0,1980000.0,8.0,5.611972332000732
153,1365104760000.0,1680000.0,6.0,6.2448554039001465
154,1365106560000.0,1800000.0,9.0,6.068884372711182
155,1365107520000.0,960000.0,7.0,6.4120306968688965
156,1365108300000.0,780000.0,4.0,6.433929443359375
157,1365111600000.0,3300000.0,4.0,5.825004577636719
158,1365112740000.0,1140000.0,5.0,5.122706890106201
159,1365113880000.0,1140000.0,6.0,5.334820747375488
160,1365116280000.0,2400000.0,6.0,5.528336048126221
161,1365120360000.0,4080000.0,7.0,5.643484592437744
162,1365121320000.0,960000.0,6.0,5.663084030151367
163,1365128940000.0,7620000.0,8.0,5.53996467590332
164,1365132960000.0,4020000.0,6.0,5.358726978302002
165,1365133800000.0,840000.0,6.0,5.683263778686523
166,1365134640000.0,840000.0,5.0,5.349510669708252
167,1365136020000.0,1380000.0,6.0,5.548412322998047
168,1365137520000.0,1500000.0,7.0,5.858953475952148
169,1365138600000.0,1080000.0,9.0,6.09089469909668
170,1365141120000.0,2520000.0,9.0,6.58635950088501
