read_time,write_counts,period
1364777580000.0,6.0,0.0
1364780160000.0,5.0,2580000.0
1364784720000.0,3.0,4560000.0
1364797380000.0,5.0,12660000.0
1364810700000.0,6.0,13320000.0
1364811780000.0,6.0,1080000.0
1364817300000.0,4.0,5520000.0
1364818920000.0,6.0,1620000.0
1364820660000.0,9.0,1740000.0
1364824380000.0,6.0,3720000.0
1364826360000.0,7.0,1980000.0
1364827380000.0,10.0,1020000.0
1364828220000.0,8.0,840000.0
1364829060000.0,8.0,840000.0
1364830080000.0,8.0,1020000.0
1364830800000.0,4.0,720000.0
1364832360000.0,5.0,1560000.0
1364833260000.0,4.0,900000.0
1364835060000.0,5.0,1800000.0
1364836620000.0,6.0,1560000.0
1364843040000.0,5.0,6420000.0
1364850300000.0,6.0,7260000.0
1364859540000.0,9.0,9240000.0
1364864400000.0,9.0,4860000.0
1364866800000.0,8.0,2400000.0
1364872080000.0,6.0,5280000.0
1364875740000.0,5.0,3660000.0
1364879460000.0,8.0,3720000.0
1364881380000.0,7.0,1920000.0
1364889600000.0,6.0,8220000.0
1364892660000.0,6.0,3060000.0
1364895120000.0,6.0,2460000.0
1364898900000.0,6.0,3780000.0
1364899680000.0,6.0,780000.0
1364900940000.0,6.0,1260000.0
1364906160000.0,8.0,5220000.0
1364907900000.0,5.0,1740000.0
1364911800000.0,6.0,3900000.0
1364912940000.0,7.0,1140000.0
1364915880000.0,7.0,2940000.0
1364919420000.0,8.0,3540000.0
1364922000000.0,5.0,2580000.0
1364923980000.0,2.0,1980000.0
1364925960000.0,5.0,1980000.0
1364928660000.0,6.0,2700000.0
1364930220000.0,6.0,1560000.0
1364931900000.0,6.0,1680000.0
1364933280000.0,4.0,1380000.0
1364934060000.0,8.0,780000.0
1364935020000.0,4.0,960000.0
1364936940000.0,8.0,1920000.0
1364939100000.0,5.0,2160000.0
1364940300000.0,7.0,1200000.0
1364941740000.0,6.0,1440000.0
1364942940000.0,5.0,1200000.0
1364944980000.0,2.0,2040000.0
1364947440000.0,9.0,2460000.0
1364948580000.0,5.0,1140000.0
1364951220000.0,7.0,2640000.0
1364952300000.0,6.0,1080000.0
1364953620000.0,6.0,1320000.0
1364957100000.0,8.0,3480000.0
1364957940000.0,7.0,840000.0
1364959500000.0,4.0,1560000.0
1364960580000.0,8.0,1080000.0
1364961960000.0,8.0,1380000.0
1364963160000.0,10.0,1200000.0
1364964180000.0,6.0,1020000.0
1364965020000.0,3.0,840000.0
1364965920000.0,7.0,900000.0
1364968200000.0,5.0,2280000.0
1364969520000.0,5.0,1320000.0
1364970660000.0,6.0,1140000.0
1364971620000.0,8.0,960000.0
1364972340000.0,8.0,720000.0
1364973720000.0,8.0,1380000.0
1364974800000.0,8.0,1080000.0
1364975640000.0,6.0,840000.0
1364978040000.0,10.0,2400000.0
1364980140000.0,7.0,2100000.0
1364981100000.0,8.0,960000.0
1364982000000.0,7.0,900000.0
1364982780000.0,7.0,780000.0
1364983740000.0,7.0,960000.0
1364984640000.0,7.0,900000.0
1364986140000.0,6.0,1500000.0
1364986980000.0,7.0,840000.0
1364988480000.0,7.0,1500000.0
1364990340000.0,7.0,1860000.0
1364992740000.0,5.0,2400000.0
1365000180000.0,6.0,7440000.0
1365004260000.0,4.0,4080000.0
1365006300000.0,6.0,2040000.0
1365007440000.0,5.0,1140000.0
1365009120000.0,8.0,1680000.0
1365011040000.0,7.0,1920000.0
1365012600000.0,5.0,1560000.0
1365014340000.0,8.0,1740000.0
1365015480000.0,10.0,1140000.0
1365016140000.0,9.0,660000.0
1365017460000.0,7.0,1320000.0
1365018960000.0,7.0,1500000.0
1365021360000.0,9.0,2400000.0
1365022140000.0,7.0,780000.0
1365023160000.0,9.0,1020000.0
1365024060000.0,8.0,900000.0
1365025740000.0,9.0,1680000.0
1365027480000.0,6.0,1740000.0
1365028200000.0,8.0,720000.0
1365030840000.0,9.0,2640000.0
1365031560000.0,9.0,720000.0
1365032460000.0,5.0,900000.0
1365033540000.0,3.0,1080000.0
1365034500000.0,9.0,960000.0
1365036060000.0,9.0,1560000.0
1365037980000.0,8.0,1920000.0
1365039900000.0,9.0,1920000.0
1365041400000.0,10.0,1500000.0
1365043620000.0,8.0,2220000.0
1365045120000.0,7.0,1500000.0
1365046320000.0,9.0,1200000.0
1365047460000.0,3.0,1140000.0
1365048720000.0,5.0,1260000.0
1365049680000.0,5.0,960000.0
1365051120000.0,6.0,1440000.0
1365052320000.0,8.0,1200000.0
1365052980000.0,7.0,660000.0
1365053940000.0,5.0,960000.0
1365054780000.0,7.0,840000.0
1365056280000.0,4.0,1500000.0
1365058440000.0,6.0,2160000.0
1365061980000.0,7.0,3540000.0
1365066480000.0,8.0,4500000.0
1365071640000.0,6.0,5160000.0
1365075480000.0,6.0,3840000.0
1365076440000.0,6.0,960000.0
1365078660000.0,7.0,2220000.0
1365079560000.0,4.0,900000.0
1365080460000.0,7.0,900000.0
1365082200000.0,5.0,1740000.0
1365083640000.0,7.0,1440000.0
1365086520000.0,9.0,2880000.0
1365088440000.0,10.0,1920000.0
1365089640000.0,9.0,1200000.0
1365091260000.0,5.0,1620000.0
1365092340000.0,7.0,1080000.0
1365093240000.0,5.0,900000.0
1365095700000.0,7.0,2460000.0
1365096300000.0,6.0,600000.0
1365097020000.0,4.0,720000.0
1365097800000.0,3.0,780000.0
1365101100000.0,5.0,3300000.0
1365103080000.0,8.0,1980000.0
1365104760000.0,6.0,1680000.0
1365106560000.0,9.0,1800000.0
1365107520000.0,7.0,960000.0
1365108300000.0,4.0,780000.0
1365111600000.0,4.0,3300000.0
1365112740000.0,5.0,1140000.0
1365113880000.0,6.0,1140000.0
1365116280000.0,6.0,2400000.0
1365120360000.0,7.0,4080000.0
1365121320000.0,6.0,960000.0
1365128940000.0,8.0,7620000.0
1365132960000.0,6.0,4020000.0
1365133800000.0,6.0,840000.0
1365134640000.0,5.0,840000.0
1365136020000.0,6.0,1380000.0
1365137520000.0,7.0,1500000.0
1365138600000.0,9.0,1080000.0
1365141120000.0,9.0,2520000.0
1365145380000.0,7.0,4260000.0
1365149400000.0,6.0,4020000.0
1365153300000.0,8.0,3900000.0
1365154740000.0,6.0,1440000.0
1365157980000.0,4.0,3240000.0
1365162240000.0,7.0,4260000.0
1365165120000.0,4.0,2880000.0
1365168540000.0,1.0,3420000.0
